Category,IVS_name,IAU_name,RAh,RAm,RAs,DEd,DEm,DEs,D_alp,D_Del,Corr,num_Obs,S-band_total_flux,S-band_unresolved_flux,C-band_total_flux,C-band_unresolved_flux,X-band_total_flux,X-band_unresolved_flux,U-band_total_flux,U-band_unresolved_flux,K-band_total_flux,K-band_unresolved_flux,Type,Cat
C,2357-006,J0000-0022,0,0,1.659825,-0.0,22,10.02434,1.02,2.31,0.042,28,-1.0,-1.0,0.071,0.026,0.039,0.018,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2357-141,J0000-1352,0,0,3.124348,-13.0,52,0.75512,1.64,4.0,0.723,21,-1.0,-1.0,0.021,0.009,0.019,0.015,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2357+080,J0000+0816,0,0,7.031173,8.0,16,45.05288,1.13,2.07,0.601,39,-1.0,-1.0,-1.00,-1.00,0.029,0.025,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2357-379,J0000-3738,0,0,8.414129,-37.0,38,20.67178,1.7,3.9,0.626,69,-1.0,-1.0,0.019,0.019,0.019,0.02,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2357+025,J0000+0248,0,0,19.282429,2.0,48,14.6904,0.18,0.39,-0.318,241,-1.0,-1.0,0.039,0.018,0.038,0.024,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2357+113,J0000+1139,0,0,19.563979,11.0,39,20.72955,0.7,1.86,-0.188,29,-1.0,-1.0,0.022,0.008,0.018,0.011,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2357-326,J0000-3221,0,0,20.399971,-32.0,21,1.23375,0.17,0.32,-0.376,526,0.581,0.436,-1.00,-1.00,0.278,0.133,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2357+028,J0000+0307,0,0,27.022483,3.0,7,15.64704,0.16,0.3,-0.217,445,0.115,0.041,0.080,0.047,0.075,0.027,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+289,J0000+2914,0,0,35.127791,29.0,14,35.8349,0.72,1.13,0.396,44,-1.0,-1.0,0.056,0.047,0.028,0.027,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+390,J0000+3918,0,0,41.527593,39.0,18,4.14825,0.42,0.79,-0.344,45,-1.0,-1.0,0.070,0.056,0.094,0.076,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+028,J0000+030B,0,0,44.327696,3.0,7,54.20396,0.68,1.81,-0.157,54,0.035,-1.0,0.078,0.069,0.062,0.048,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
U,2358+516,J0000+5157,0,0,51.385775,51.0,57,19.89405,5.89,8.38,0.348,11,-1.0,-1.0,0.037,-1.00,0.015,-1.0,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358+406,J0000+4054,0,0,53.081122,40.0,54,1.80914,0.19,0.2,-0.285,609,0.802,0.116,-1.00,-1.00,0.237,0.055,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
C,2358-161,J0001-1551,0,1,5.328747,-15.0,51,7.07581,0.13,0.29,-0.364,491,0.313,0.179,-1.00,-1.00,0.192,0.099,-1.00,-1.0,-1.0,-1.0,Fus,rfc_2024b
